company_id,created_at,event_type,asset_id,trial_id,evidence_id,payload_json
immatics,,trials_ingested,,,,"{""trials_seen"": 3, ""inserted"": 3, ""updated"": 0, ""status_changed"": 0, ""bad_aliases"": 0}"
immatics,,trial_assets_linked,,58,61,"{""nct_id"": ""NCT05958121"", ""linked_assets"": 1}"
immatics,,trial_assets_linked,,59,62,"{""nct_id"": ""NCT05359445"", ""linked_assets"": 1}"
immatics,,trial_assets_linked,,60,63,"{""nct_id"": ""NCT03686124"", ""linked_assets"": 1}"
immatics,,trial_alias_bootstrapped,,,,"{""query_alias"": ""IMA402"", ""added_alias"": ""IMA402"", ""assets"": [24, 25]}"
immatics,,trial_added,,58,61,"{""nct_id"": ""NCT05958121"", ""title"": ""A Phase I/II First-In-Human Clinical Trial to Evaluate the Safety, Tolerability and Anti-Tumor Activity of IMA402, a Bispecific TCER® Targeting PRAME, in Patients With Recurrent and/or Refractory Solid Tumors""}"
immatics,,trial_added,,59,62,"{""nct_id"": ""NCT05359445"", ""title"": ""A Phase Ia/Ib First-In-Human Clinical Trial to Evaluate the Safety, Tolerability and Initial Anti-Tumor Activity of IMA401, a Bispecific T Cell Engaging Receptor Molecule (TCER®), as Monotherapy or in Combination With Checkpoint Inhibitor in Patients With Recurrent and/or Refractory Solid Tumors.""}"
immatics,,trial_added,,60,63,"{""nct_id"": ""NCT03686124"", ""title"": ""Phase 1/2 Study Evaluating Genetically Modified Autologous T Cells Expressing a TCR Recognizing a Cancer/Germline Antigen as Monotherapy or in Combination With Nivolumab in Patients With Recurrent and/or Refractory Solid Tumors""}"
immatics,,pipeline_ingested,,,3,"{""pipeline_page"": ""https://immatics.com/our-pipeline/"", ""pipeline_image"": ""https://immatics.com/wp-content/uploads/2025/12/20251112_IMTX_pipeline_v3-scaled.png"", ""assets_seen"": 6}"
immatics,,asset_indication_added,23,,3,"{""asset"": ""IMA203CD8"", ""indication"": ""Gynecologic cancers; other solid cancers"", ""stage"": ""Phase 1"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_indication_added,24,,3,"{""asset"": ""IMA402"", ""indication"": ""Melanoma, gynecologic cancers, other solid cancers"", ""stage"": ""Phase 1"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_indication_added,25,,3,"{""asset"": ""IMA402 + ICI"", ""indication"": ""Melanoma, gynecologic cancers, other solid cancers (combo)"", ""stage"": ""Phase 1"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_indication_added,26,,3,"{""asset"": ""IMA401"", ""indication"": ""HNSCC, sqNSCLC, other solid cancers"", ""stage"": ""Phase 1"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_indication_added,27,,3,"{""asset"": ""Undisclosed bispecific"", ""indication"": ""Undisclosed"", ""stage"": ""Preclinical"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_indication_added,28,,3,"{""asset"": ""Undisclosed cell therapy"", ""indication"": ""Undisclosed"", ""stage"": ""Preclinical"", ""therapeutic_area"": ""Oncology""}"
immatics,,asset_added,23,,3,"{""asset"": ""IMA203CD8""}"
immatics,,asset_added,24,,3,"{""asset"": ""IMA402""}"
immatics,,asset_added,25,,3,"{""asset"": ""IMA402 + ICI""}"
immatics,,asset_added,26,,3,"{""asset"": ""IMA401""}"
immatics,,asset_added,27,,3,"{""asset"": ""Undisclosed bispecific""}"
immatics,,asset_added,28,,3,"{""asset"": ""Undisclosed cell therapy""}"
